Disease,symptoms
chicken pox,"itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
chicken pox,"itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
chicken pox," skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
chicken pox,"itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
chicken pox,"itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body"
chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body"
chronic cholestasis,"itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes"
chronic cholestasis," vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes"
chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain"
chronic cholestasis,"itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
chronic cholestasis,"itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
common cold," continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
common cold," continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
common cold," continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
common cold," continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
common cold," continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
common cold," continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
common cold," chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
common cold," continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
common cold," continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
dengue," skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain"
dengue," skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
dengue," skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body"
dengue," skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body"
dengue," chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
dengue," skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
dengue," skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
dengue," skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
dengue," skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
dengue," skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
diabetes ," fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria"
diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria"
diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria"
diabetes ," fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
diabetes ," fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
diabetes ," fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
diabetes ," weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
dimorphic hemmorhoids(piles)," constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus"
dimorphic hemmorhoids(piles)," pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
dimorphic hemmorhoids(piles)," constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool"
dimorphic hemmorhoids(piles)," constipation, pain_in_anal_region, bloody_stool, irritation_in_anus"
dimorphic hemmorhoids(piles)," constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus"
dimorphic hemmorhoids(piles)," constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
drug reaction,"itching, stomach_pain, burning_micturition, spotting_ urination"
drug reaction,"itching, skin_rash, stomach_pain, burning_micturition"
drug reaction," skin_rash, stomach_pain, burning_micturition, spotting_ urination"
drug reaction,"itching, skin_rash, stomach_pain, spotting_ urination"
drug reaction,"itching, skin_rash, burning_micturition, spotting_ urination"
drug reaction,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination"
fungal infection," skin_rash, nodal_skin_eruptions, dischromic _patches"
fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
fungal infection,"itching, nodal_skin_eruptions, dischromic _patches"
fungal infection,"itching, skin_rash, nodal_skin_eruptions"
fungal infection,"itching, skin_rash, dischromic _patches"
gerd," acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
gerd," stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain"
gerd," stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
gerd," stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
gerd," stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
gerd," stomach_pain, acidity, ulcers_on_tongue, vomiting, cough"
gerd," stomach_pain, acidity, vomiting, cough, chest_pain"
gastroenteritis," vomiting, sunken_eyes, dehydration, diarrhoea"
gastroenteritis," vomiting, sunken_eyes, diarrhoea"
gastroenteritis," vomiting, sunken_eyes, dehydration"
gastroenteritis," sunken_eyes, dehydration, diarrhoea"
gastroenteritis," vomiting, dehydration, diarrhoea"
heart attack," vomiting, breathlessness, sweating, chest_pain"
heart attack," vomiting, breathlessness, chest_pain"
heart attack," vomiting, sweating, chest_pain"
heart attack," breathlessness, sweating, chest_pain"
heart attack," vomiting, breathlessness, sweating"
hepatitis b,"itching, fatigue, lethargy, yellowish_skin, dark_urine, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis b,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis b,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis b,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis b,"itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis b," fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis b,"itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis b,"itching, fatigue, lethargy, yellowish_skin, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis b,"itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis c," fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes"
hepatitis c," yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history"
hepatitis c," fatigue, yellowish_skin, nausea, loss_of_appetite, family_history"
hepatitis c," fatigue, yellowish_skin, nausea, yellowing_of_eyes, family_history"
hepatitis c," fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history"
hepatitis c," fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history"
hepatitis c," fatigue, nausea, loss_of_appetite, yellowing_of_eyes, family_history"
hepatitis d," vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
hepatitis d," joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
hepatitis d," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
hepatitis d," joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
hepatitis d," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
hepatitis d," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, yellowing_of_eyes"
hepatitis d," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
hepatitis d," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain, yellowing_of_eyes"
hepatitis d," joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
hepatitis d," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain"
hepatitis e," vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis e," joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis e," joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis e," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis e," joint_pain, vomiting, fatigue, high_fever, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis e," joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis e," joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis e," joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding"
hepatitis e," joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hypertension ," headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration"
hypertension ," headache, dizziness, loss_of_balance, lack_of_concentration"
hypertension ," headache, chest_pain, dizziness, loss_of_balance"
hypertension ," headache, chest_pain, dizziness, lack_of_concentration"
hypertension ," headache, chest_pain, loss_of_balance, lack_of_concentration"
hypertension ," chest_pain, dizziness, loss_of_balance, lack_of_concentration"
hyperthyroidism," fatigue, mood_swings, weight_loss, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, sweating, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hyperthyroidism," fatigue, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hyperthyroidism," mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, muscle_weakness, irritability, abnormal_menstruation"
hyperthyroidism," fatigue, mood_swings, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypoglycemia," vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations"
hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypoglycemia," fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypoglycemia," vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, nausea, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypoglycemia," vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypoglycemia," vomiting, fatigue, anxiety, sweating, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
hypothyroidism," fatigue, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
hypothyroidism," weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
hypothyroidism," fatigue, weight_gain, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, mood_swings, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
impetigo," high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
impetigo," skin_rash, blister, red_sore_around_nose, yellow_crust_ooze"
impetigo," skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze"
impetigo," skin_rash, high_fever, blister, red_sore_around_nose"
impetigo," skin_rash, high_fever, blister, yellow_crust_ooze"
impetigo," skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine"
jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain"
jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain"
jaundice,"itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain"
jaundice,"itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
jaundice,"itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
jaundice," vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
jaundice,"itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain"
malaria," chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain"
malaria," chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain"
malaria," chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
malaria," vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
malaria," chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
malaria," chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain"
malaria," chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain"
malaria," chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain"
migraine," indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
migraine," acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances"
migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances"
migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability"
migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances"
migraine," acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances"
migraine," acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
migraine," acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
osteoarthristis," joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
osteoarthristis," neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
osteoarthristis," joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints"
osteoarthristis," joint_pain, neck_pain, knee_pain, swelling_joints, painful_walking"
osteoarthristis," joint_pain, neck_pain, knee_pain, hip_joint_pain, painful_walking"
osteoarthristis," joint_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
osteoarthristis," joint_pain, neck_pain, hip_joint_pain, swelling_joints, painful_walking"
paralysis (brain hemorrhage)," vomiting, headache, weakness_of_one_body_side"
paralysis (brain hemorrhage)," vomiting, headache, altered_sensorium"
paralysis (brain hemorrhage)," vomiting, weakness_of_one_body_side, altered_sensorium"
paralysis (brain hemorrhage)," headache, weakness_of_one_body_side, altered_sensorium"
paralysis (brain hemorrhage)," vomiting, headache, weakness_of_one_body_side, altered_sensorium"
peptic ulcer diseae," vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases"
peptic ulcer diseae," vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching"
peptic ulcer diseae," vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
peptic ulcer diseae," vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
peptic ulcer diseae," vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching"
peptic ulcer diseae," vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching"
peptic ulcer diseae," indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
pneumonia," chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
pneumonia," chills, fatigue, cough, high_fever, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
pneumonia," chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
pneumonia," chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
pneumonia," chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
pneumonia," chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
