label,text,extracted_symp
acne,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying everywhere.,"rash, blackheads, pus-filled_pimples, skin_scurrying"
acne,"My skin has merely developed an uninherited rash. It has a lot of pus-filled pimples and blackheads. Furthermore, my skin has been quite sensitive.","rash, pus-filled_pimples, blackheads, skin_sensitivity"
acne,"My skin has a horrible rash that is absolutely nonheritable. Blackheads and pus-filled pimples abound on it. In addition, my skin has been quite sensitive.","rash, blackheads, pimples, skin_sensitivity"
acne,"I discovered a huge rash on my skin yesterday. My face is covered of blackheads and pus-filled pimples, and my skin has been crawling a lot.","rash, blackheads, pimples, skin_crawling"
acne,"I discovered that I had a significant rash all over my body this morning. Blackheads and pus-filled pimples are proliferating, and my skin has been scurrying a lot.","rash, blackheads, pus-filled_pimples, skin_itch"
acne,"This morning, I saw a large rash all over my body. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot.","rash, pus-filled_pimples, blackheads, skin_scurrying"
acne,"I woke up this morning to find that I had a major rash all over my body. It's covered in pus-filled pimples and blackheads, and my skin has been scurrying a lot","rash, pus-filled_pimples, blackheads, skin_scurrying"
acne,I recently had a horrible rash on my skin. There are several blackheads and pus-filled pimples. My skin has also been moving around a lot.,"rash, blackheads, pus-filled_pimples, skin_movement"
acne,"Yesterday, I noticed an enormous rash all over my skin. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot.","rash, pus-filled_pimples, blackheads, skin_scurrying"
acne,"I woke up today to find that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot.","rash, pimples, pus, blackheads, skin_scurrying"
acne,"This morning, I realized that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot.","rash, pimples, pus, blackheads, skin_scratching"
acne,"This morning when I woke up, I discovered that I have an extremely bad rash all over my body. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot.","rash, pus-filled_pimples, blackheads, skin_movement"
acne,I awoke this morning to see that I had a horrible rash all over my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.,"rash, blackheads, pimples, pus, skin_scurrying"
acne,"I woke up this morning to find that I have a terrible rash all over my body. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been changing a lot.","rash, blackheads, pus-filled_pimples, skin_changes"
acne,I've just developed a skin rash with several pus-filled pimples and blackheads. My skin has also been quite sensitive.,"rash, pimples, blackheads, sensitivity"
acne,"When I awoke this morning, I realised that I had a severe rash all over my body. There are many pus-filled pimples and blackheads all over the place. My skin has also been scurring a lot.","rash, pimples, blackheads, scurrying"
acne,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying about.,"rash, blackheads, pus-filled_pimples, skin_scurrying"
acne,I awoke this morning to see a horrible rash on my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.,"rash, blackheads, pimples, pus, skin_scurrying"
acne,"This morning when I woke up, I discovered an extremely bad rash on my skin. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot.","rash, pus-filled_pimples, blackheads, skin_movement"
allergy,"I've been losing my appetite, and I also have trouble swallowing. My nose has been running, and I have a sore throat.","appetite_loss, difficulty_swallowing, nose_running, sore_throat"
allergy,I'm always worn out and experiencing a tingle in my throat. I've also started to have dry skin. My eyes occasionally swell up,"worn_out, tingle_throat, dry_skin, eye_swelling"
allergy,"I feel queasy, nauseous, and dizzy. I have a swelling throat and am having breathing issues. I occasionally have chest discomfort and nausea at night.","queasiness, nausea, dizziness, throat_swelling, breathing_issues, chest_discomfort"
allergy,"My skin is red and scratchy. These can occasionally flake. My cheeks and lips swell, which is really annoying. I occasionally have headaches and runny eyes because to the puffing.","redness, itchiness, flaking, swelling, headaches, eye_irritation"
allergy,"I have trouble breathing and get short of breath. I have a dry, hacking cough, itchy eyes, and swelling all over my face and body.","breathing_trouble, shortness_of_breath, cough, itchy_eyes, swelling"
allergy,"I get symptoms of asthma, such as wheezing and breathing problems. I frequently have headaches and fever. All the time, I feel exhausted.","wheezing, breathing_problems, headaches, fever, exhaustion"
allergy,I have a sore throat and frequently sneeze. Sometimes the skin around my eyes and my lips swells. I just can't stop sneezing once I get going.,"sore_throat, sneezing, eye_swelling"
allergy,"I have nasal congestion and a blocked nose. On occasion, during the night, I have stiffness and chest pain. Additionally, I've lost my senses of taste and smell.","nasal_congestion, blocked_nose, stiffness, chest_pain, loss_of_taste, loss_of_smell"
allergy,"I always feel exhausted, have bad taste, and have an extremely scratchy throat. I also have muscular pain and heat. My entire body simply cramps up occasionally.","exhaustion, bad_taste, scratchy_throat, muscle_pain, body_cramps"
allergy,"I frequently sneeze, and my nose runs. I constantly cough, and my eyes are sore and watery. My head hurts all the time.","sneezing, runny_nose, coughing, eye_irritation, headache"
allergy,"I get breathing issues and wheezing, which are asthma symptoms. I regularly have fevers and headaches. I constantly feel worn out.","breathing_issues, wheezing, fever, headache, fatigue"
allergy,I hace difficulty in breething and shortness of breath. I cough uncontrollably and get itchy eyes and swelling on my face and other body parts,"difficulty_breathing, shortness_of_breath, coughing, itchy_eyes, swelling"
allergy,I have sore throat and I am sneezing all the time. Sometimes I have swelling on my face like my lips and near my eyes. I just cant stop sneezing once I start sneezing,"sore_throat, sneezing, swelling"
allergy,"I often sneeze and have a sore throat. My lips and the area around my eyes occasionally swell. Once I start sneezing, I just can't stop.","sneezing, sore_throat, swelling"
allergy,"I often sneeze and have a runny nose. My eyes are scratchy and frequently runny, and I frequently cough. My head hurts constantly.","sneezing, runny_nose, scratchy_eyes, coughing, head_pain"
allergy,I have itchy and red skin. Sometimes these result in flaking. My face and lips puff up and causes a lot of inconvinience. I get watery eyes sometimes and headches when the puffing gets severe,"itchy, redness, flaking, puffiness, watery_eyes, headaches"
allergy,"I feel fatigued all the time, and have a tingling sensation in my throat. I have also developed flaky skin. Sometimes I get puffy eyes and sometimes puffs up too.","fatigue, tingling_sensation, flaky_skin, puffy_eyes, puffiness"
allergy,I have been experiencing a loss of appetite and have difficulty swallowing food. I have been suffering from sore throat and runnny nose also.,"loss_of_appetite, difficulty_swallowing, sore_throat, runny_nose"
allergy,"I feel tired all the time, I have lost my taste and have a really sore throat. I also get feverish and often have muscle aches. Sometimes my whole body just cramps up","fatigue, loss_of_taste, sore_throat, fever, muscle_aches"
allergy,I have asthma like symptoms like wheezing and difficulty breathing. I often get fever and have headaches. I feel tired all the time,"wheezing, difficulty_breathing, fever, headaches, tiredness"
allergy,I have a nasal congestion and blocked nose. Sometimes at night I have chest pain and tightness. I have also lost my sense of smell and taste,"nasal_congestion, blocked_nose, chest_pain, tightness, loss_of_smell, loss_of_taste"
allergy,I have a plugged nose and nasal congestion. I occasionally have stiffness and chest discomfort at night. I've also lost my ability to taste and smell.,"nose_stuffiness, nasal_congestion, stiffness, chest_discomfort, loss_of_taste, loss_of_smell"
allergy,"I have a runny nose and I am sneezing all the time. My eyes are itchy and often watery, and I am coughing all the time. My head hurts and all the time","runny_nose, sneezing, itchy_eyes, watery_eyes, coughing, headache"
allergy,"I have respiratory issues and experience breathlessness. My face and torso are swollen, my eyes are itching, and I have a dry, hacking cough.","breathlessness, swelling, itching, cough"
allergy,"I have stomach cramps, nausea and diarrhea. My throat is swollen, and I have difficulty breathing. Sometimes at night night I get chest pain and nauseous.","stomach_cramp, nausea, diarrhea, throat_swelling, difficulty_breathing, chest_pain"
allergy,"I feel queasy, sick, and wobbly. My throat is enlarged and making it difficult for me to breathe. My chest occasionally pains all through the night, and I occasionally feel ill.","queasiness, sickness, wobbliness, enlarged_throat, difficulty_breathing, chest_pain"
allergy,"My skin is itching and swollen. Sometimes, they could flake. My lips and cheeks swelling aches a lot. The puffing occasionally gives me headaches and runny eyes.","itching, swelling, flaking, headaches, runny_eyes"
allergy,"I have trouble breathing and easily get out of breath. My face and torso are swollen, my eyes hurt, and I have a dry, hacking cough.","breathing_trouble, shortness_of_breath, swelling, eye_pain, cough"
allergy,"I always feel worn out, have unpleasant taste in my mouth, and have a really itchy throat. My muscles are also hot and hurting. Sometimes my whole body just cramps up.","fatigue, unpleasant_taste, itchy_throat, muscle_pain, cramping"
allergy,"I get breathing issues and wheezing, which are asthma symptoms. I regularly have fevers and headaches. I'm always worn out.","breathing_issues, wheezing, fever, headaches, fatigue"
allergy,"I frequently have exhaustion, a terrible taste in my mouth, and throat itchiness. My muscles are also burning and uncomfortable. Sometimes I have cramps all throughout my body.","exhaustion, taste_disorder, throat_itch, muscle_pain, cramps"
allergy,"Along with losing my appetite, I've been having swallowing issues. I have a sore throat, and my nose has been running.","appetite_loss, swallowing_issues, sore_throat, nose_running"
allergy,"My throat always tickles, and I'm worn out. Additionally, my skin has started to feel dry. Ocular inflammation occasionally affects me.","tickle, exhaustion, dry_skin, ocular_inflammation"
allergy,"I'm nauseous, ill, and shaky. I have a huge throat, which makes it tough for me to breathe. I occasionally have nighttime chest aches and occasional sickness.","nausea, illness, shakiness, throat_trouble, breathing_difficulties, nighttime_chest_aches"
allergy,I always feel exhausted and have a tickle in my throat. My skin has also started to feel dry. I occasionally get ocular swelling.,"exhaustion, tickle_throat, dry_skin, ocular_swelling"
allergy,"I have a sore throat and a lot of sneezing. There are times when the skin around my eyes and my lips swell. I find that once I start, I just cannot stop.","sore_throat, sneezing, eye_swelling, lip_swelling"
allergy,"My appetite has decreased, and I've been having swallowing issues. I have a sore throat, and my nose has been running.","appetite_loss, swallowing_issues, sore_throat, nose_running"
allergy,"I sneeze a lot and my nose is running. My eyes ache and are damp, and I frequently croak. My head hurts all the time.","sneezing, nose_running, eye_ache, headache"
allergy,"I have nasal congestion and a blocked nose. On occasion, during the night, I have stiffness and chest pain. I've also lost my senses of taste and smell.","nasal_congestion, blocked_nose, stiffness, chest_pain, loss_of_taste, loss_of_smell"
allergy,"I'm dizzy, nauseated, and shaky. I'm having trouble breathing since my throat is swollen. On occasion, throughout the night, my chest hurts and I feel sick.","dizziness, nausea, shakiness, breathing_trouble, throat_swelling, chest_pain"
allergy,I always get a tickle in my throat and feel fatigued. My skin has begun to feel dry as well. I have ocular edema on occasion.,"tickle, fatigue, dry_skin, ocular_edema"
allergy,"I've been losing my appetite and having trouble swallowing. My nose has been running, and I have a sore throat.","loss_of_appetite, difficulty_swallowing, nose_running, sore_throat"
allergy,"I always feel exhausted, have a bad taste in my mouth, and my throat itches a lot. Also heated and painful are my muscles. My entire body can cramp up at times.","exhaustion, bad_taste, throat_itch, muscle_cramp"
allergy,"I get wheezing and breathing difficulties, which are asthma symptoms. I frequently have headaches and fever. I'm continuously exhausted.","wheezing, breathing_difficulties, headaches, fever, exhaustion"
allergy,I have a plugged nose and nasal congestion. I occasionally have stiffness and chest discomfort during the night. I've also lost my ability to smell and taste.,"nose_stuffiness, nasal_congestion, night_time_stiffness, loss_of_smell, loss_of_taste"
allergy,"I have breathing problems and become out of breath easily. My eyes ache, I have a dry, hacking cough, and my face and body are bloated.","breathing_problems, out_of_breath, cough, bloating"
allergy,"I sneeze a lot and have a sore throat. My lips and the skin surrounding my eyes will occasionally swell. Once I start, I just can't stop sneezing.","sneezing, sore_throat, swelling"
allergy,"My nose runs and I sneeze a lot. My eyes are wet and hurt, and I cough all the time. My head aches constantly.","runny_nose, sneezing, watery_eyes, headache"
allergy,My skin is swollen and itchy. They may occasionally flake. It hurts a lot when my cheeks and lips swell. I occasionally get headaches and watery eyes from the puffing.,"swelling, itchiness, flaking, headaches, watery_eyes"
allergy,"My skin is irritated and inflamed. Sometimes, they can flake. My lips and cheeks expand, and it is really unpleasant. Because of the puffing, I occasionally have headaches and wet eyes.","inflammation, flaking, puffiness, headaches, eye_wetness"
arthritis,"Recently, I've been suffering neck muscle weakness and stiffness. My joints have enlarged and it is difficult for me to walk without feeling stiff. Walking has also been excruciatingly uncomfortable.","neck_muscle_weakness, stiffness, joint_enlargement, discomfort"
arthritis,"My muscles have been quite weak, and my neck has been really stiff. My joints have swollen, making it difficult for me to walk about without becoming stiff. Walking has also been excruciatingly uncomfortable.","weakness, stiffness, joint_swelling, discomfort"
arthritis,"My muscles have been quite weak, and my neck has been really stiff. My joints have swollen, making it difficult for me to move without becoming stiff. Walking has been quite uncomfortable as well.","weakness, stiffness, swelling, difficulty_moving, discomfort"
arthritis,"Lately, my neck has been tight and my muscles have been weakened. I have swelling joints that make it difficult for me to move about without getting stiff. It has also been agonisingly painful to walk.","tightness, weakness, swelling, stiffness, pain"
arthritis,My neck has been extremely tight and my muscles have been feeling extremely weak. It is difficult for me to move around without becoming stiff due to my swollen joints. Walking has also been extremely uncomfortable.,"tightness, weakness, swollen_joints, stiffness"
arthritis,"My muscles have been feeling really weak, and my neck has been extremely tight. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk.","weakness, stiffness, swollen_joints, difficulty_walking"
arthritis,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.,"weakness, stiffness, swelling, pain"
arthritis,"My neck has been so tense, and I've been feeling like my muscles are incredibly weak. I have trouble moving since my joints have enlarged. To walk has been quite painful.","tenseness, weakness, joint_enlargement, painful_walking"
arthritis,"My muscles have been really weak, and my neck has been extremely stiff. My joints have swollen, making it difficult for me to walk about without feeling stiff. Walking has also been really uncomfortable.","weakness, stiffness, swelling, discomfort"
arthritis,"My muscles have been quite weak, and my neck has been really stiff. My joints have swollen, making it difficult for me to walk about without feeling stiff. Walking has also been really uncomfortable.","weakness, stiffness, joint_swelling, discomfort"
arthritis,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's been hard to move around. Walking has been really painful.,"weakness, stiffness, swelling, pain"
arthritis,"Recently, my muscles have felt quite weak, and my neck has been really tight. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk.","weakness, stiffness, joint_swelling, difficulty_walking"
arthritis,"I've been experiencing muscular weakness and stiffness in my neck recently. My joints have swollen, making it difficult for me to walk about without becoming stiff. Walking has also been excruciatingly uncomfortable.","muscular_weakness, stiffness, joint_swelling, difficulty_walking, discomfort"
arthritis,"My neck has been extremely stiff and my muscles have been extremely weak. As a result of swelling in my joints, I find it difficult to move around without feeling stiff. Additionally, walking has been extremely uneasy.","stiffness, weakness, swelling, joint_pain, difficulty_moving, uneasy_walking"
arthritis,"My muscles have been quite weak, and my neck has been really stiff. My joints have swollen and I've been experiencing a lot of stiffness when I move around. Walking has also been excruciatingly uncomfortable.","weakness, stiffness, swelling, discomfort"
arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grown, it's hard for me to walk without getting stiff. Additionally, walking has been extremely uncomfortable.","stiffness, weakness, joint_pain, difficulty_walking"
arthritis,"I've been experiencing severe muscular weakness, and my neck has been really stiff. It has been difficult to move about since my joints have swollen. It has been really uncomfortable to walk.","severe_muscular_weakness, stiff_neck, joint_swelling, discomfort_walking"
arthritis,"My muscles have been feeling really weak, and my neck has been extremely tight. My joints have swollen, making it difficult for me to move. It has hurt a lot to walk.","weakness, neck_tightness, joint_swelling, difficulty_moving"
arthritis,"My neck has been really stiff, and I've had terrible muscle weakness. Due to the swelling in my joints, it has been challenging to move about. Walking has been quite unpleasant.","stiffness, muscle_weakness, swelling, joint_pain"
arthritis,"My muscles have been really weak, and my neck has been extremely stiff. My joints have swollen, making it difficult to move about. Walking has been excruciatingly uncomfortable.","weakness, stiffness, swelling, discomfort"
arthritis,"My neck has been really tight, and my muscles have been rather weak. I have swelling joints that make it hard for me to move without getting stiff. Additionally, walking has been quite unpleasant.","tightness, weakness, swelling, stiffness, difficulty_walking"
arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's heavy on behalf of Pine Tree State to run whereas not getting stiff. additionally, walking has been terribly uncomfortable.","stiffness, weakness, neck_muscles, joint_pain, discomfort"
arthritis,I've been feeling really weak in my muscles lately and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.,"weakness, stiffness, joint_swelling, painful_walking"
arthritis,"Lately, I've been having stiffness and weakness in my neck muscles. Since my joints have matured, it is difficult for the American state to operate without becoming stiff. Furthermore, walking has been quite painful.","stiffness, weakness, joint_pain"
arthritis,"My muscles area unit quite weak, and my neck has been terribly stiff. My joints have swollen, making it hard on behalf of Maine to steer regarding whereas not feeling stiff. Walking has put together been terribly uncomfortable.","weakness, stiffness, swelling, discomfort"
arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's onerous on behalf of me to run while not obtaining stiff. in addition, walking has been extraordinarily uncomfortable.","stiffness, weakness, neck_muscles"
arthritis,My neck has been very tight and my muscles have felt quite weak recently. it's tough on behalf of me to maneuver around while not changing into stiff thanks to my swollen joints. Walking has additionally been very uncomfortable.,"tightness, weakness, stiffness, swollen_joints, discomfort"
arthritis,"Recently, the muscles in my neck have become tight and weak. Since my joints have matured, it is difficult for the American government for me to run without becoming stiff. Walking has also been quite unpleasant.","tight_muscles, weak_muscles, stiffness, joint_pain"
arthritis,"Lately i have been experiencing muscle weakness, a stiff neck, swelling joints, and stiffness after I attempt to move around. it is also been very painful to steer.","muscle_weakness, stiff_neck, joint_swelling, stiffness_after_movement, painful_steering"
arthritis,"Recently, the muscles in my neck have become tight and weak. It's difficult for me to run now since my joints are older without getting tight. The act of walking has also been quite unpleasant.","tightness, weakness, joint_pain, difficulty_moving"
arthritis,"My neck has been extremely tight and my muscles have been feeling extremely weak. My joints have been swollen and I've been walking around with a lot of stiffness. Additionally, walking has been extremely uneasy.","tightness, weakness, swelling, stiffness, uneasy_walking"
arthritis,"Recently, when I try to walk about, I have stiffness, a stiff neck, swollen joints, and muscular weakness. Walking has also been really uncomfortable.","stiffness, stiff_neck, swollen_joints, muscular_weakness"
arthritis,"My muscles are quite weak, and my neck has been very stiff. My joints have swollen, creating it troublesome on behalf of me to steer concerning while not feeling stiff. Walking has conjointly been very uncomfortable.","weakness, stiffness, swelling, discomfort"
arthritis,"My muscles have been feeling rather weak lately, but my neck has been really strong. My joints have swollen, making it challenging for me to move about. It has also been excruciatingly difficult to walk.","weakness, joint_swelling, difficulty_walking"
arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's heavy on behalf of American state to run whereas not getting stiff. additionally, walking has been very uncomfortable.","stiffness, weakness, joint_pain, discomfort"
arthritis,"My muscles have been feeling feeble recently, but my neck has been rock solid. My joints have become swollen, making it difficult for me to move about. Walking has been quite uncomfortable as well.","fatigue, stiffness, swelling, discomfort"
arthritis,I've been feeling truly frail in my muscles recently and my neck has been truly solid. Swollen joints make it difficult for me to move around. Walking has also been difficult.,"frail, solid, swollen, difficult_to_move"
arthritis,"My muscles have been feeling really weak, and my neck has been extremely tight. I've been experiencing a lot of stiffness when I walk about and my joints have been swollen. Walking has also been really uncomfortable.","weakness, stiffness, swelling, discomfort"
arthritis,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and I've been having a lot of stiffness when I move around. It's also been really painful to walk.,"weakness, stiffness, swelling, pain"
arthritis,"I've been experiencing muscular weakness and stiffness in my neck recently. My joints have swollen, creating it troublesome on behalf of me to run regarding while not changing into stiff. Walking has additionally been agonizingly uncomfortable.","muscular_weakness, stiffness, joint_swelling, discomfort"
arthritis,"I've been experiencing severe muscular weakness, and my neck has been really stiff. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk.","severe_muscular_weakness, stiff_neck, swollen_joints, difficulty_moving, discomfort_walking"
arthritis,My neck has been extremely tight and my muscles have felt quite weak recently. It is difficult for me to move around without becoming stiff due to my swollen joints. Walking has also been extremely uncomfortable.,"tightness, weakness, swollen_joints, stiffness, discomfort"
arthritis,"Recently, my muscles have felt quite weak, and my neck has been really tight. I have swollen joints, making it difficult for me to move. Walking has also been painful.","weakness, stiffness, joint_swelling, painful_walking"
arthritis,"I've been experiencing muscular weakness and stiffness in my neck recently. My joints have enlarged, making it difficult for me to move. Walking has also been difficult.","muscular_weakness, stiffness, joint_enlargement, difficulty_walking"
arthritis,I've been feeling truly frail in my muscles recently and my neck has been truly solid. It has been difficult for me to move around because my joints have been swelling. Walking has also been extremely painful.,"frail, stiffness, swelling, pain"
arthritis,I've been feeling really weak in my muscles lately and my neck has been really stiff. My joints have been swollen and it's hard for me to move around. It's also been painful to walk.,"weakness, stiffness, swelling, pain"
bronchial asthma,"Recently, I've felt quite weak and exhausted, and I've also had a cough that simply won't go away. My fever has been really high, and it has been challenging for me to catch my breath. I've been making a lot of mucous when I cough.","fever, weakness, exhaustion, cough, mucous"
bronchial asthma,"My fever is through the roof, and I'm so weak and tired out. I've been coughing up a lot of mucous, and managing all of these symptoms has been really hard. Everything is making me so upset.","fever, weakness, fatigue, coughing, mucus"
bronchial asthma,"Doctor Due to a high fever, I haven't been able to breathe via my nose or mouth for a few days and feelinf too tired. Please recommend some medications for me.","fever, difficulty_breathing, fatigue"
bronchial asthma,"Hey, I've got a dry cough, trouble breathing, and a high fever. I'm producing a lot of mucus and am feeling quite weak and exhausted.","cough, breathing_difficulty, fever, mucus, weakness"
bronchial asthma,"I've been coughing nonstop for days, and I also have respiratory issues. My fever is through the roof, and I'm so weak and worn out. All of these symptoms have been really challenging for me to control,","coughing, respiratory_issues, fever, weakness"
bronchial asthma,"In addition to sleepiness, I've been having trouble breathing due to a persistent cough. I've been coughing up a lot of thick, mucoid sputum and have a high fever.","cough, fever, difficulty_breathing, thick_sputum"
bronchial asthma,"I've been struggling to breathe, coughing constantly, and feeling worn out. I have a very high fever and have been coughing up a lot of thick, mucoid saliva. I simply feel so worn out and exhausted from trying to deal with everything.","breathing_difficulty, coughing, fatigue, fever, mucus_production"
bronchial asthma,"I've been experiencing difficulty breathing, a chronic cough, and weariness. I've been producing a lot of thick, mucoid sputum while also running a very high temperature. Due to having to cope with all of this, I'm simply feeling extremely worn out and exhausted.","breathing_difficulty, cough, fatigue, fever, mucus, temperature"
bronchial asthma,"Hello, Mom and Father Recently, I've felt incredibly worn out and have had a cough that won't go away. My fever is really high, and my breathing has become shallow. Additionally, I've been coughing up a lot of mucous, thick sputum.","fatigue, cough, fever, shortness_of_breath, mucous_production"
bronchial asthma,"I've felt terribly weak and drained, and I've also had a cough that that won't go away. My fever has been exceptionally high, and it has been challenging to try to catch my breath. I've been creating a lot of mucous when I cough.","fever, weakness, cough, mucous"
bronchial asthma,"I am currently dealing with a number of health issues, including a dry cough, difficulty breathing, a high fever, and increased mucus production. I am also feeling very weak and tired","cough, difficulty_breathing, fever, mucus_production, weakness, fatigue"
bronchial asthma,"Hey Mom, Hey Dad, I've been feeling really exhausted lately and have had this persistent cough. My breathing has become shallow, and my fever is very high. I've also been coughing up a lot of thick, mucoid sputum","exhaustion, cough, fever, breathing_problems, sputum"
bronchial asthma,"I have a cough that has continued for days, and I feel really weak and tired. My fever is high, and my breath has become strained. When I cough, I also generate a lot of mucus.","cough, fever, mucus, weakness"
bronchial asthma,"doctor, i have been having high fever since past few days , saliva also became thick , dry cough , weakness also seen","fever, dry_cough, weakness, thick_saliva"
bronchial asthma,"I've had a lot of sleepiness, a cough that refuses to go away, and breathing difficulty. I've been coughing up a lot of thick, mucoid saliva and have a high fever.","sleepiness, cough, breathing_difficulty, fever, mucus_production"
